X,Y,OBJECTID_1,OBJECTID,NAME,ADDRESS,TYPE_,Notes,PHONE,Symbol,Capacity,Activated_As_Cooling_Site,Gender,Warming_Cooling,GlobalID,Hours3
-77.0213758099999,38.93500999,1,1,Park View Recreation Center,693 Otis Pl NW,Walk to Learn,,202-576-8658,Walk to Learn,12,Yes,Ages 12 and Under,Cooling,{457F41BA-D92B-4524-A34E-81391888F3F2},Weekdays 10AM-5PM
-76.98985917,38.8833486500001,2,2,Watkins Recreation Center,"420 12th Streets, SE",Recreation Center, ,202-727-1504,Recreation Center,15-20,No,,Cooling,{FA760643-874B-445B-82D4-2FD837AA5D3E},
-76.99980971,38.8840706400001,3,3,John L. Young Center For Women,"425 D St., NW",Private Low Barrier Shelter, ,202-639-8469,Private Low Barrier Shelter, ,No,,Cooling,{7800438E-C825-4464-B2D7-166141510CAE},
-77.01916906,38.9003609700001,4,4,Patricia Handy Place,810 5th St NW,DHS Low Barrier Shelter, ,(202) 733-5378,DHS Low Barrier Shelter, ,No,Men,Cooling,{6FF7CB9F-B48F-4867-AA32-07D335AADE47},24 hours
-76.97487627,38.9196222900001,5,5,Adams Place Day Center for women,2210 Adams Pl NE #1,Private Low Barrier Shelter, ,(202) 832-8317,Private Low Barrier Shelter, ,No,,Cooling,{4F80715A-EDCD-4258-809F-3757F6EBE495},"Monday-Friday; 7am-7pm"
-76.9123594499999,38.89173121,6,6,Marvin Gaye Recreation Center,"6201 Banks Place, NE 20019",Recreation Center,,(202) 899-6004,Recreation Center,15,Yes,,Cooling,{9EB60267-D634-4C69-9C53-7F0439C188C0},Daily 10AM-8PM
-77.06202295,38.90357405,7,7,Georgetown Ministries,"1041 Wisconsin Avenue, NW",Private Low Barrier Shelter, ,202-338-8301,Private Low Barrier Shelter, ,No,,Cooling,{913A6BCF-0304-4663-8C1C-44F1A38BB99A},
-77.0519609899999,38.8985313900001,8,8,Miriam's Kitchen,"2401 Virginia Avenue, NW",Private Low Barrier Shelter, ,202-452-8926,Private Low Barrier Shelter, ,No,,Cooling,{914F8845-C6E9-4EDE-BEEC-46FA31D71B62},
-77.08063657,38.9513659400001,9,9,Friendship Place Welcome Center,"4713 Wisconsin Avenue, NW",Private Low Barrier Shelter, ,202-364-1419,Private Low Barrier Shelter, ,No,,Cooling,{38FE90EE-4A3A-4DC4-97EA-D118124448E3},
-76.98697007,38.88145847,10,10,Everyone Home DC,1338 G Street SE,Private Low Barrier Shelter, ,202-544-3150,Private Low Barrier Shelter, ,No,,Cooling,{4E276E06-C083-400A-B4C1-7258E6BFD3E8},
-77.00966003,38.9015567500001,11,11,Father McKenna Center,"19 I Street, NW",Private Low Barrier Shelter, ,202-842-1112,Private Low Barrier Shelter, ,No,,Cooling,{41596C6F-5E90-4FF1-9DB9-3B6A44206FF0},
-76.97557417,38.8852198100001,12,12,DC General Building 9 Harriet Tubman,"1900 Massachusetts Avenue, SE",Private Low Barrier Shelter, ,202-399-7093,Private Low Barrier Shelter, ,Yes,Women,Cooling,{FF4A3149-21AE-4F02-A098-83B059DFC078},24 hours
-77.035747839,38.9334798100001,13,13,Thrive,"1525 Newton Street, NW G1",Private Low Barrier Shelter, ,202-737-9311,Private Low Barrier Shelter, ,No,,Cooling,{874833F6-AED2-4235-ABB4-5E419A4E2125},
-77.03142561,38.90756608,14,14,Bethany Women's Shelter,"1333 N Street, NW",Private Low Barrier Shelter, ,202-939-2076,Private Low Barrier Shelter, ,No,,Cooling,{4167AB08-4B46-49F0-BBC9-C012721CE0B7},
-77.03121326,38.89997606,15,15,Downtown Day Services,"1313 New York Avenue, NW",Private Low Barrier Shelter,"Daily meals, showers, laundry, clothing, housing assistance.",202-383-8810,Private Low Barrier Shelter, ,Yes,All,Cooling,{929FC764-4C1F-474F-B3F9-EC234CAE9D55},Regular hours:   Mon-Fri 9AM to 5PM   Weekend hours:   Sat– Sun 10AM to 3PM  
-77.0849811799999,38.90991617,16,16,Hardy Recreation Center,4500 Q STREET NW,Recreation Center,,(202) 282-2190,Recreation Center,12,Yes,,Cooling,{9A89DBE7-CD22-43DC-B27B-1616D71992DA},
-77.013239853,38.90672299,17,17,New York Ave/Dunbar Recreation,"100 N Street, NW",Recreation Center,Confirmed 2020 Cooling Site, ,Recreation Center,15,No,,Cooling,{BE15034D-C6B7-44C6-B48F-CF9315407E60},
-77.009058295,38.8792859270001,18,18,Randall Recreation Center,SOUTH CAPITOL ST AND I ST SW,Recreation Center,,(202) 727-1420,Recreation Center,12,No,All,Cooling,{91F8014C-3723-4F26-9979-80A9946D7098},"Tues-Fri: 10AM-6PM, Sat-Sun: 10PM-6PM, Closed Mon"
-77.06680255,38.9101020200001,19,19,Volta Park Recreation Center,1555 34TH STREET NW,Recreation Center,,(202) 645-5668,Recreation Center,12,Yes,,Cooling,{CCB4728E-BBA9-498F-9351-1E2874106457},"Mon-Fri 11am-7pm; Sat CLOSED"
-77.008298982,38.826762278,20,20,Patterson Elementary,"4399 South Capitol Terrace SW, Washington, DC 20032",DCPS,Confirmed 2020 Cooling Site, ,DCPS,15-20,No,,Cooling,{501D78FD-9BFE-46EA-A50D-B385E02FAA35},
