OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN,GEOID,variable,estimate,moe,geometry
1,001600,11001001600,1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",30,5014,76.5,4.9,22.8,4,8.9,0.9,9.6,5.7,27,0.30982323,0.63701471,0.36298529,27.70954848,33.21163396,0.23949691,0.27466007,HSEIPly_35,NA,{1DAB1163-FE72-4421-BB86-8043A89DDAF9},NA,NA,NA,NA,0,0,11001001600,B19013_001,178493,18203,"list(c(-77.0516625043103, -77.0465412510744, -77.0423889986637, -77.0416459874318, -77.0416276818592, -77.040999, -77.0367692514116, -77.0364613501893, -77.036299, -77.033707359689, -77.0312349218127, -77.0266962184868, -77.0266345528952, -77.0265907040259, -77.026426, -77.026433, -77.032967, -77.036364, -77.036371, -77.037462, -77.039889, -77.039423, -77.039864, -77.043754, -77.0446, -77.043558, -77.042359, -77.040395, -77.039959, -77.042378, -77.045758, -77.047587, -77.050041, -77.0516625043103, 
38.9870923275862, 38.990942893929, 38.9940648882228, 38.9946235432843, 38.9946373068728, 38.99511, 38.9920501818722, 38.9918274448178, 38.99171, 38.9897319353213, 38.9878448516806, 38.9843806947535, 38.9843336286046, 38.9843001610361, 38.978303, 38.977982, 38.978024, 38.974864, 38.972269, 38.973055, 38.972834, 38.973944, 38.976377, 38.978272, 38.979982, 38.980663, 38.979987, 38.981033, 38.982466, 38.983979, 38.984151, 38.98536, 38.986067, 38.9870923275862))"
2,001500,11001001500,1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",29,6016,30.5,6.8,27.6,6,6.6,3.8,8.3,5.2,20.6,0.23294905,0.76540962,0.23459038,18.02190967,32.37127513,0.07254534,0.15274719,HSEIPly_34,NA,{223D6E3B-7985-4967-B9AF-DADADFB2387F},NA,NA,NA,NA,0,0,11001001500,B19013_001,228750,58558,"list(c(-77.0716409840087, -77.0689510030664, -77.0666905196187, -77.0625646528884, -77.0620741692368, -77.054299, -77.0529374996208, -77.0524367514019, -77.0522200614323, -77.0516625043103, -77.050041, -77.047587, -77.045758, -77.042378, -77.039959, -77.040395, -77.042359, -77.043558, -77.0446, -77.043754, -77.039864, -77.039423, -77.039889, -77.041969, -77.044407, -77.045699, -77.046714, -77.047538, -77.043521, -77.046246, -77.050778, -77.056201, -77.056191, -77.059129, -77.062046, -77.06841, -77.070141, 
-77.070182, -77.0716409840087, 38.9717775427368, 38.9738455907718, 38.9755834426199, 38.9787553946774, 38.9791324768105, 38.98511, 38.9861336844956, 38.9865101869159, 38.986673111705, 38.9870923275862, 38.986067, 38.98536, 38.984151, 38.983979, 38.982466, 38.981033, 38.979987, 38.980663, 38.979982, 38.978272, 38.976377, 38.973944, 38.972834, 38.97101, 38.970997, 38.96874, 38.967749, 38.964633, 38.961365, 38.960384, 38.961903, 38.961013, 38.963635, 38.96588, 38.965813, 38.96581, 38.969697, 38.969763, 
38.9717775427368))"
3,010300,11001010300,1400000US11001010300,"Census Tract 103, District of Columbia, District of Columbia",194,4272,82,2.3,9.5,19,9.2,10.5,10.4,4.8,28.8,0.32067944,0.29462927,0.70537073,45.24673906,34.16753391,0.50193364,0.41130654,HSEIPly_194,NA,{D3904052-16DE-4CFA-908C-65AC49CBA47B},NA,NA,NA,NA,0,0,11001010300,B19013_001,95313,21333,"list(c(-77.036364, -77.032967, -77.026433, -77.026426, -77.0265907040259, -77.0205367150986, -77.0187064975833, -77.019267, -77.019835, -77.022766, -77.022857, -77.025406, -77.027265, -77.027024, -77.029692, -77.033416, -77.036371, -77.036364, 38.974864, 38.978024, 38.977982, 38.978303, 38.9843001610361, 38.9796794651736, 38.9782825550368, 38.977949, 38.977475, 38.973609, 38.973512, 38.969924, 38.969925, 38.972354, 38.972263, 38.972263, 38.972269, 38.974864))"
4,001702,11001001702,1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",31,3667,61,3.5,16.5,10,8.8,4.4,9.9,3.9,25.5,0.26179847,0.41958466,0.58041534,47.81604416,34.53509276,0.52284197,0.39232022,HSEIPly_36,NA,{B865449C-2A95-4038-B11B-7AD69E5022BE},NA,NA,NA,NA,0,0,11001001702,B19013_001,115000,17568,"list(c(-77.022857, -77.022766, -77.019835, -77.019267, -77.0187064975833, -77.0186545534322, -77.0173231309697, -77.015598, -77.0146806885246, -77.013798, -77.0110567340993, -77.0085892746401, -77.009022, -77.009048, -77.008927, -77.009562, -77.011349, -77.013138, -77.014771, -77.01496, -77.016165, -77.019895, -77.025406, -77.022857, 38.973512, 38.973609, 38.977475, 38.977949, 38.9782825550368, 38.9782429087594, 38.977226703025, 38.97591, 38.9751455737705, 38.97441, 38.9722668284776, 38.9703377238095, 
38.969948, 38.967339, 38.964758, 38.963905, 38.965392, 38.967301, 38.969936, 38.969922, 38.969923, 38.969923, 38.969924, 38.973512))"
5,001803,11001001803,1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",32,4161,88.7,5.9,9.6,40,17.2,20.6,12,5.4,33.4,0.4730735,0.58355615,0.41644385,15.62309126,33.00942317,0.18773175,0.33040262,HSEIPly_37,NA,{BA5B55B8-71C6-461F-A9C3-A977156BC5D2},NA,NA,NA,NA,0,0,11001001803,B19013_001,54306,8438,"list(c(-77.046714, -77.045699, -77.044407, -77.041969, -77.039889, -77.037462, -77.036371, -77.033416, -77.033418, -77.033418, -77.033419, -77.033425, -77.034796, -77.03642, -77.040266, -77.043461, -77.043521, -77.047538, -77.046714, 38.967749, 38.96874, 38.970997, 38.97101, 38.972834, 38.973055, 38.972269, 38.972263, 38.967566, 38.96685, 38.965429, 38.962042, 38.962241, 38.962592, 38.963035, 38.961395, 38.961365, 38.964633, 38.967749))"
6,001804,11001001804,1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",33,5803,93.6,7.3,11.8,48,18,23.9,12.2,6.6,36,0.53965913,0.31862208,0.68137792,45.36222728,35.30484159,0.63292598,0.58629255,HSEIPly_38,NA,{0A84B8D9-4DF7-4974-AFDC-5D3A3BB68911},NA,NA,NA,NA,0,0,11001001804,B19013_001,47535,10369,"list(c(-77.033419, -77.033418, -77.033418, -77.033416, -77.029692, -77.027024, -77.027265, -77.027473, -77.027501, -77.02771, -77.027804, -77.027889, -77.028013, -77.02852, -77.029694, -77.033425, -77.033419, 38.965429, 38.96685, 38.967566, 38.972263, 38.972263, 38.972354, 38.969925, 38.967579, 38.967288, 38.964954, 38.963772, 38.9627, 38.961226, 38.961338, 38.961506, 38.962042, 38.965429))"
7,001401,11001001401,1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",27,3641,40.3,13.4,18.7,6,5.5,2.5,8.5,3.8,20.2,0.23852708,0.53387581,0.4661242,42.02384614,34.09382005,0.42075743,0.32964225,HSEIPly_32,NA,{E63C385C-C88E-4613-A1E6-963B8BF26B9F},NA,NA,NA,NA,0,0,11001001401,B19013_001,174444,38121,"list(c(-77.0774366982071, -77.0716409840087, -77.070182, -77.070141, -77.06841, -77.062046, -77.066238, -77.070831, -77.073309, -77.075049, -77.076867, -77.0774366982071, 38.9673218177274, 38.9717775427368, 38.969763, 38.969697, 38.96581, 38.965813, 38.961013, 38.961013, 38.961017, 38.963999, 38.967009, 38.9673218177274))"
8,009505,11001009505,1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",166,3907,89.2,1.1,13.6,12,13.5,0,10.8,5.9,30.4,0.3287029,0.26804444,0.73195556,43.29076503,35.84857232,0.70421775,0.51646032,HSEIPly_166,NA,{502D2978-4321-4CC5-9FC3-7C2500485E87},NA,NA,NA,NA,0,0,11001009505,B19013_001,82169,26676,"list(c(-77.009562, -77.008927, -77.009048, -77.009022, -77.0085892746401, -77.008298, -77.007774574197, -77.0049833617021, -77.0026017595338, -77.0025892201687, -77.002498, -77.0016499141653, -76.9991240258307, -76.9974927103214, -76.999735, -77.002294, -77.003834, -77.004983, -77.009046, -77.009042, -77.009049, -77.009051, -77.009251, -77.009533, -77.010713, -77.009562, 38.963905, 38.964758, 38.967339, 38.969948, 38.9703377238095, 38.97011, 38.9696858446079, 38.967424, 38.9654940810016, 38.9654839197919, 
38.96541, 38.9647544642013, 38.962802055425, 38.9615411149971, 38.960446, 38.956771, 38.955879, 38.955693, 38.954815, 38.956861, 38.95766, 38.959608, 38.960184, 38.960864, 38.962357, 38.963905))"
9,001902,11001001902,1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",35,2460,82,7,15.4,23,12.8,8.3,10.6,5.7,30.2,0.38913226,0.29745209,0.70254791,40.81016731,36.20477688,0.73106141,0.56009684,HSEIPly_40,NA,{F9317C64-E531-469C-AA8F-8A0ACA7DADA1},NA,NA,NA,NA,0,0,11001001902,B19013_001,116250,21483,"list(c(-77.019896, -77.019895, -77.019897, -77.019895, -77.019895, -77.016165, -77.01496, -77.014771, -77.013138, -77.011349, -77.009562, -77.010713, -77.009533, -77.009251, -77.012326, -77.013422, -77.018032, -77.019897, -77.019896, 38.9627, 38.963772, 38.96495, 38.967288, 38.969923, 38.969923, 38.969922, 38.969936, 38.967301, 38.965392, 38.963905, 38.962357, 38.960864, 38.960184, 38.960198, 38.958733, 38.958736, 38.958733, 38.9627))"
10,001901,11001001901,1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",34,4220,84.1,3.1,14.4,23,9.6,13.4,10.4,5.1,29.4,0.36163047,0.24230292,0.75769708,50.64039973,36.03479635,0.75823612,0.55993329,HSEIPly_39,NA,{5CBF7E39-0F2D-4518-BE1C-F8DEDC94638C},NA,NA,NA,NA,0,0,11001001901,B19013_001,67381,43051,"list(c(-77.028013, -77.027889, -77.027804, -77.02771, -77.027501, -77.027473, -77.027265, -77.025406, -77.019895, -77.019895, -77.019897, -77.019895, -77.019896, -77.019897, -77.027922, -77.028031, -77.028013, 38.961226, 38.9627, 38.963772, 38.964954, 38.967288, 38.967579, 38.969925, 38.969924, 38.969923, 38.967288, 38.96495, 38.963772, 38.9627, 38.958733, 38.960918, 38.961014, 38.961226))"
